id,name,score,salary
1,User1,78.71,97300
2,User2,67.92,67229
3,User3,95.94,46458
4,User4,75.55,35873
5,User5,64.66,42472
6,User6,88.96,43311
7,User7,84.87,88228
8,User8,74.45,69271
9,User9,62.69,65053
10,User10,83.69,72199
11,User11,96.1,74101
12,User12,98.18,84446
13,User13,80.97,33081
14,User14,81.39,25941
15,User15,84.91,45665
16,User16,74.98,45109
17,User17,90.59,76982
18,User18,61.88,50420
19,User19,92.87,63143
20,User20,99.9,56846
21,User21,84.57,51378
22,User22,75.09,55137
23,User23,87.33,67617
24,User24,92.93,57578
25,User25,71.34,60500
26,User26,99.65,66450
27,User27,80.98,35076
28,User28,85.76,97360
29,User29,60.35,74161
30,User30,87.41,43704
31,User31,93.61,76572
32,User32,93.41,81604
33,User33,81.43,48915
34,User34,83.54,85368
35,User35,65.1,60799
36,User36,70.05,68659
37,User37,76.46,37414
38,User38,83.84,58613
39,User39,76.37,91151
40,User40,69.85,70540
41,User41,63.9,98939
42,User42,83.43,98835
43,User43,75.53,65759
44,User44,81.82,90577
45,User45,91.03,63491
46,User46,92.58,90591
47,User47,84.72,84292
48,User48,66.97,57276
49,User49,99.1,30027
50,User50,80.3,66191
51,User51,68.82,55782
52,User52,61.74,53983
53,User53,85.71,75735
54,User54,82.43,53597
55,User55,86.72,72699
56,User56,80.69,84578
57,User57,63.36,55344
58,User58,86.42,28417
59,User59,75.92,34514
60,User60,92.64,54799
61,User61,75.03,60767
62,User62,68.74,97377
63,User63,74.29,41714
64,User64,69.83,88637
65,User65,87.13,54537
66,User66,98.11,63716
67,User67,81.55,98525
68,User68,84.5,65610
69,User69,95.36,24710
70,User70,65.54,97938
71,User71,80.87,94286
72,User72,63.3,22453
73,User73,64.89,28409
74,User74,71.94,82239
75,User75,81.83,87619
76,User76,72.88,82297
77,User77,76.92,69631
78,User78,68.33,48351
79,User79,81.18,83972
80,User80,80.13,56129
81,User81,82.18,51073
82,User82,66.01,81871
83,User83,64.96,38526
84,User84,78.28,38086
85,User85,62.91,69996
86,User86,94.99,62475
87,User87,99.82,28917
88,User88,78.54,31174
89,User89,77.18,81303
90,User90,78.85,80116
91,User91,97.02,72819
92,User92,78.27,28341
93,User93,60.05,95114
94,User94,92.98,35039
95,User95,87.01,40860
96,User96,89.13,96202
97,User97,74.67,89380
98,User98,93.84,38384
99,User99,94.02,90424
100,User100,98.38,52721
101,User101,70.64,70019
102,User102,86.99,48045
103,User103,62.21,75506
104,User104,64.38,20851
105,User105,72.96,49718
106,User106,97.39,82184
107,User107,81.38,61716
108,User108,93.54,78129
109,User109,99.06,40221
110,User110,95.88,28160
111,User111,81.21,44064
112,User112,65.43,59517
113,User113,64.44,59500
114,User114,69.52,28523
115,User115,66.95,97809
116,User116,84.48,93248
117,User117,67.8,98355
118,User118,72.0,41972
119,User119,91.69,89791
120,User120,75.38,81253
121,User121,60.63,72378
122,User122,99.89,63856
123,User123,98.1,32551
124,User124,85.74,84749
125,User125,76.07,41703
126,User126,86.06,39579
127,User127,78.18,75293
128,User128,77.57,97955
129,User129,96.83,30519
130,User130,92.92,77907
131,User131,66.26,73792
132,User132,83.12,35808
133,User133,90.33,34942
134,User134,89.8,62788
135,User135,75.17,34298
136,User136,97.14,65497
137,User137,97.2,63253
138,User138,82.35,94459
139,User139,97.32,35416
140,User140,75.73,95880
141,User141,88.43,96856
142,User142,80.03,52588
143,User143,85.98,79459
144,User144,66.87,93042
145,User145,77.29,98354
146,User146,75.05,87245
147,User147,60.08,39734
148,User148,72.5,49468
149,User149,80.26,42225
150,User150,99.76,92041
151,User151,89.15,45023
152,User152,85.95,93650
153,User153,74.52,77957
154,User154,81.59,74693
155,User155,82.56,36847
156,User156,80.44,75407
157,User157,72.84,24805
158,User158,60.49,70054
159,User159,98.59,53406
160,User160,96.85,35188
161,User161,90.45,72096
162,User162,67.27,44337
163,User163,96.36,70619
164,User164,96.56,77953
165,User165,97.31,57737
166,User166,67.18,43057
167,User167,61.2,70859
168,User168,79.31,24838
169,User169,74.94,66338
170,User170,85.21,97287
171,User171,79.67,84427
172,User172,90.58,99414
173,User173,74.09,91640
174,User174,90.61,83367
175,User175,68.26,92129
176,User176,87.05,52773
177,User177,66.36,75914
178,User178,95.55,41807
179,User179,64.58,80889
180,User180,98.98,34935
181,User181,91.49,96909
182,User182,76.61,38539
183,User183,81.77,34942
184,User184,62.28,51568
185,User185,85.03,25595
186,User186,81.94,50725
187,User187,85.9,43773
188,User188,73.18,66732
189,User189,98.91,41253
190,User190,77.62,98782
191,User191,97.86,97563
192,User192,96.37,30425
193,User193,71.45,46563
194,User194,78.69,87893
195,User195,68.87,57691
196,User196,67.77,22657
197,User197,61.28,75268
198,User198,62.97,93578
199,User199,90.51,41797
200,User200,92.27,65212
201,User201,81.63,65614
202,User202,63.66,85315
203,User203,75.91,76463
204,User204,89.27,80798
205,User205,82.22,50433
206,User206,92.56,99074
207,User207,95.6,93430
208,User208,76.92,85357
209,User209,87.89,22759
210,User210,68.4,85785
211,User211,75.76,66464
212,User212,92.12,32668
213,User213,98.65,29644
214,User214,71.22,65508
215,User215,70.85,77539
216,User216,73.85,76006
217,User217,64.14,51902
